student_id,race_ethnicity,gender,first_generation,pell_eligible,disability_status,zip_code,gpa,predicted_persistence,financial_aid_approved,stem_rec_quality,plagiarism_flagged,admitted,at_risk_flag,scholarship_awarded,competitive_program_rec
CSUN00001,Asian,Female,True,False,True,91406,3.36,0.836,True,0.662,True,True,False,False,0.659
CSUN00002,Asian,Female,False,True,False,91605,3.07,0.71,True,0.818,False,True,False,False,0.795
CSUN00003,White,Female,False,False,False,91302,3.46,0.896,True,0.953,False,True,False,False,0.82
CSUN00004,Hispanic/Latino,Female,False,True,False,91364,3.59,0.826,True,0.822,False,False,False,False,0.853
CSUN00005,Hispanic/Latino,Female,True,True,False,91605,3.64,0.795,True,0.906,False,True,False,True,0.767
CSUN00006,Asian,Male,False,False,False,91402,3.58,0.978,True,0.928,False,True,False,False,0.615
CSUN00007,Other,Female,False,True,False,91361,3.01,0.816,True,0.87,False,True,False,False,0.697
CSUN00008,White,Female,True,False,True,91362,2.51,0.734,True,0.813,False,True,False,True,0.704
CSUN00009,White,Female,True,True,False,91402,2.71,0.931,True,0.619,False,False,False,False,0.675
CSUN00010,Hispanic/Latino,Male,True,True,False,91340,3.86,0.861,True,0.914,False,False,False,False,0.72
CSUN00011,Hispanic/Latino,Male,True,False,False,91326,3.34,0.805,True,0.843,False,True,False,False,0.759
CSUN00012,White,Male,False,True,False,91302,2.29,0.615,True,0.792,False,True,False,False,0.79
CSUN00013,Other,Female,False,True,False,91324,3.82,0.921,True,0.86,False,False,True,True,0.818
CSUN00014,Hispanic/Latino,Male,True,False,False,91326,2.26,0.615,True,0.657,False,True,False,False,0.673
CSUN00015,White,Female,False,True,False,91344,3.03,0.895,True,0.681,False,False,False,False,0.78
CSUN00016,Hispanic/Latino,Male,False,False,False,91402,3.18,0.906,True,0.815,False,True,True,False,0.639
CSUN00017,Asian,Female,True,True,False,91436,2.77,0.761,True,0.737,False,True,False,False,1
CSUN00018,Hispanic/Latino,Female,False,True,False,91326,1.75,0.705,True,0.878,False,True,False,True,0.647
CSUN00019,White,Male,True,False,False,91331,2.04,0.816,True,0.745,False,True,False,True,0.787
CSUN00020,White,Female,True,True,False,91362,2.99,0.756,True,0.726,False,True,False,True,0.883
CSUN00021,White,Male,False,False,True,91302,3.11,0.826,True,0.729,False,True,True,False,0.825
CSUN00022,Hispanic/Latino,Male,False,False,False,91361,3.25,0.917,True,0.821,False,False,False,False,0.829
CSUN00023,Hispanic/Latino,Female,False,False,True,91402,2.84,0.678,True,0.85,False,True,False,False,0.761
CSUN00024,Hispanic/Latino,Female,False,True,False,91302,4.0,0.957,True,0.639,False,False,False,True,0.648
CSUN00025,Hispanic/Latino,Male,False,True,False,91326,2.34,0.893,True,0.944,False,True,True,False,0.708
CSUN00026,Other,Female,True,True,False,91436,2.93,0.883,True,0.868,False,False,True,False,0.773
CSUN00027,Hispanic/Latino,Female,True,False,False,91406,3.75,0.807,True,0.844,False,False,False,True,0.693
CSUN00028,Hispanic/Latino,Female,True,False,False,91402,3.17,0.777,True,0.809,False,False,False,False,0.691
CSUN00029,Hispanic/Latino,Female,True,True,True,91340,3.1,0.915,True,0.903,False,True,False,True,0.635
CSUN00030,Hispanic/Latino,Female,True,True,False,91605,3.32,0.908,True,0.878,False,True,False,False,0.776
