student_id,race_ethnicity,gender,first_generation,pell_eligible,disability_status,zip_code,gpa,predicted_persistence,financial_aid_approved,stem_rec_quality,plagiarism_flagged,admitted,at_risk_flag,scholarship_awarded,competitive_program_rec
CSUN00001,Hispanic/Latino,Female,True,True,False,91402,1.96,0.372,True,0.503,False,False,False,False,0.494
CSUN00002,Asian,Male,True,True,False,91324,3.44,0.692,False,0.7,False,True,True,False,0.744
CSUN00003,Hispanic/Latino,Female,False,False,False,91343,2.94,0.528,False,0.602,False,True,True,False,0.678
CSUN00004,Hispanic/Latino,Male,False,True,False,91343,3.19,0.773,True,0.669,False,False,True,False,0.69
CSUN00005,Two or More,Female,False,False,False,91344,3.15,0.843,True,0.803,False,False,False,False,0.663
CSUN00006,Hispanic/Latino,Female,False,True,False,91331,3.27,0.663,True,0.594,False,True,True,False,0.441
CSUN00007,Two or More,Male,True,True,False,91326,3.46,0.801,True,0.814,False,True,False,False,0.532
CSUN00008,Black/African American,Female,False,True,False,91326,3.06,0.71,False,0.691,False,False,False,False,0.838
CSUN00009,White,Male,False,False,False,91325,2.49,0.847,True,0.864,False,True,False,False,0.703
CSUN00010,Asian,Male,True,False,False,91324,2.48,0.627,True,1,False,True,False,False,0.617
CSUN00011,Hispanic/Latino,Male,True,True,False,91406,2.84,0.611,True,0.718,False,False,True,False,0.663
CSUN00012,Hispanic/Latino,Male,False,True,False,91436,3.19,0.898,True,0.724,False,False,True,False,0.696
CSUN00013,Hispanic/Latino,Female,True,True,False,91402,2.11,0.361,False,0.407,False,False,True,False,0.26
CSUN00014,Asian,Female,False,True,False,91331,2.41,0.52,True,0.673,True,True,False,False,0.65
CSUN00015,Hispanic/Latino,Female,False,True,False,91343,2.78,0.572,False,0.56,False,False,False,False,0.477
CSUN00016,Hispanic/Latino,Female,True,True,True,91402,3.36,0.676,False,0.423,False,True,True,False,0.416
CSUN00017,White,Female,True,True,False,91302,2.95,0.852,False,0.762,False,False,False,False,0.314
CSUN00018,Black/African American,Female,False,True,False,91605,3.43,0.686,True,0.83,False,False,True,False,0.832
CSUN00019,Hispanic/Latino,Female,True,False,False,91340,3.37,0.522,True,0.558,False,False,False,False,0.618
CSUN00020,Hispanic/Latino,Male,False,True,False,91343,3.27,0.736,True,0.628,False,False,True,False,0.588
CSUN00021,Other,Female,False,True,True,91406,1.55,0.806,True,0.737,False,True,False,False,0.745
CSUN00022,Hispanic/Latino,Male,True,False,True,91325,2.86,0.819,True,0.563,False,False,False,True,0.454
CSUN00023,Hispanic/Latino,Male,True,True,True,91605,2.62,0.507,False,0.677,True,True,True,False,0.606
CSUN00024,Hispanic/Latino,Male,True,True,False,91324,3.09,0.756,False,0.585,True,False,True,True,0.585
CSUN00025,Hispanic/Latino,Male,True,False,False,91343,3.19,0.526,True,0.527,True,True,True,False,0.46
CSUN00026,White,Male,True,True,False,91362,2.56,0.701,True,0.764,True,True,False,True,0.711
CSUN00027,Hispanic/Latino,Male,True,True,False,91326,2.13,0.681,True,0.67,False,True,False,False,0.342
CSUN00028,Other,Male,False,False,True,91343,4.0,0.796,True,0.467,False,True,False,False,0.745
CSUN00029,Black/African American,Female,False,False,False,91340,3.11,0.747,False,0.806,False,True,False,False,0.6
CSUN00030,White,Non-binary,False,True,False,91436,2.75,0.751,False,0.735,False,False,False,True,0.94
CSUN00031,White,Female,False,True,False,91406,2.69,0.851,True,0.626,False,True,True,False,0.57
CSUN00032,White,Male,True,True,False,91362,2.66,0.517,True,0.891,False,True,True,False,0.782
CSUN00033,Hispanic/Latino,Female,True,True,False,91605,2.64,0.417,False,0.434,False,True,True,False,0.829
CSUN00034,Other,Female,False,True,False,91364,4.0,0.838,False,0.753,False,False,False,False,0.513
CSUN00035,Hispanic/Latino,Male,False,True,True,91326,2.71,0.783,True,0.612,False,True,False,False,0.511
CSUN00036,Hispanic/Latino,Female,True,False,False,91324,3.31,0.755,False,0.457,False,False,True,False,0.518
CSUN00037,Other,Female,True,False,False,91326,2.24,0.545,True,1,False,False,True,False,0.614
CSUN00038,Asian,Female,False,False,False,91605,2.65,0.575,True,0.626,False,True,False,False,0.64
CSUN00039,Black/African American,Female,False,True,False,91302,3.6,0.964,True,0.546,False,False,False,False,0.828
CSUN00040,Other,Female,False,False,False,91406,3.0,0.707,False,0.706,False,False,False,False,0.705
CSUN00041,Other,Male,False,True,False,91302,2.65,0.871,True,0.624,False,True,True,False,0.621
CSUN00042,White,Female,False,False,False,91325,2.26,0.553,True,0.586,False,True,False,False,0.659
CSUN00043,White,Female,False,False,True,91325,3.88,0.795,False,0.822,False,True,False,True,0.686
CSUN00044,Black/African American,Female,True,True,False,91402,2.19,0.325,True,0.56,True,True,False,False,0.515
CSUN00045,Other,Female,True,False,False,91364,2.24,0.805,False,0.929,False,False,False,False,0.843
CSUN00046,White,Male,True,True,True,91402,2.15,0.504,True,0.794,False,False,False,False,0.732
CSUN00047,White,Female,False,True,False,91326,2.79,0.739,True,0.64,False,True,False,False,0.696
CSUN00048,White,Male,False,False,False,91324,2.9,0.8,True,0.977,False,True,False,False,0.646
CSUN00049,Hispanic/Latino,Male,True,False,True,91343,2.86,0.47,False,0.678,False,True,False,False,0.613
CSUN00050,Hispanic/Latino,Male,True,True,False,91340,2.8,0.495,True,0.774,False,False,True,False,0.86
CSUN00051,Two or More,Female,False,True,False,91326,2.35,0.619,True,0.587,False,True,False,False,0.675
CSUN00052,Hispanic/Latino,Female,False,True,False,91325,2.57,0.811,True,0.48,False,False,True,False,0.729
CSUN00053,Hispanic/Latino,Female,False,True,True,91331,3.32,0.703,True,0.564,False,True,False,False,0.639
CSUN00054,Asian,Female,True,True,False,91361,3.22,0.812,False,0.63,False,True,False,True,0.516
CSUN00055,Hispanic/Latino,Male,False,True,False,91340,3.46,0.736,False,0.714,False,True,True,False,0.753
CSUN00056,White,Male,False,True,False,91362,1.95,0.775,True,0.996,False,True,False,True,0.63
CSUN00057,Hispanic/Latino,Male,True,False,True,91343,2.9,0.479,True,0.693,True,True,False,False,0.605
CSUN00058,Asian,Male,False,True,False,91343,2.25,0.563,True,0.855,False,False,False,False,0.754
CSUN00059,White,Female,False,False,False,91326,3.31,0.767,True,0.812,False,False,False,True,0.699
CSUN00060,Hispanic/Latino,Female,False,False,True,91605,2.69,0.512,False,0.429,False,True,True,False,0.415
CSUN00061,Other,Female,False,False,False,91364,3.71,0.75,True,0.731,False,False,False,True,0.644
CSUN00062,Hispanic/Latino,Male,True,True,False,91605,2.06,0.327,False,0.493,False,False,False,False,0.824
CSUN00063,Hispanic/Latino,Female,True,True,False,91406,3.1,0.574,True,0.536,False,False,True,False,0.641
CSUN00064,Asian,Female,True,False,True,91361,2.53,0.589,True,0.608,False,True,False,True,0.762
CSUN00065,Hispanic/Latino,Female,False,False,False,91344,2.86,0.528,False,0.359,False,True,True,False,0.616
CSUN00066,Hispanic/Latino,Male,False,False,False,91325,3.07,0.74,True,0.557,False,False,True,False,0.4
CSUN00067,Hispanic/Latino,Female,True,False,False,91340,3.03,0.518,True,0.478,False,True,True,False,0.556
CSUN00068,Hispanic/Latino,Male,False,True,False,91340,2.04,0.566,True,0.576,False,True,True,False,0.62
CSUN00069,Hispanic/Latino,Female,False,True,False,91343,1.88,0.565,True,0.621,False,False,True,False,0.56
CSUN00070,Hispanic/Latino,Male,False,True,False,91605,3.13,0.73,False,0.689,False,True,True,False,0.555
CSUN00071,Hispanic/Latino,Female,True,False,False,91325,3.86,0.792,False,0.429,False,True,False,False,0.538
CSUN00072,Black/African American,Male,False,True,False,91326,3.7,0.897,True,0.679,False,True,False,False,0.572
