student_id,race_ethnicity,gender,first_generation,pell_eligible,disability_status,zip_code,gpa,predicted_persistence,financial_aid_approved,stem_rec_quality,plagiarism_flagged,admitted,at_risk_flag,scholarship_awarded,competitive_program_rec
CSUN00001,White,Female,True,True,False,91364,3.29,0.793,True,0.829,False,True,True,False,0.609
CSUN00002,White,Male,True,False,False,91325,2.74,0.723,True,0.966,False,True,False,True,0.79
CSUN00003,Hispanic/Latino,Female,False,True,False,91326,2.85,0.761,True,0.701,True,True,True,False,0.555
CSUN00004,Hispanic/Latino,Female,True,False,False,91325,2.46,0.669,True,0.801,False,True,True,False,0.901
CSUN00005,Hispanic/Latino,Male,False,True,True,91364,2.58,0.865,True,0.554,False,True,True,False,0.647
CSUN00006,Black/African American,Female,True,False,False,91331,3.58,0.688,True,0.716,False,True,False,False,0.803
CSUN00007,Hispanic/Latino,Male,False,False,True,91326,2.86,0.831,True,0.89,False,False,False,False,0.792
CSUN00008,Asian,Female,True,True,False,91364,3.28,0.842,True,0.694,False,False,False,True,0.694
CSUN00009,Hispanic/Latino,Male,True,False,False,91364,3.28,0.814,True,0.655,False,True,True,False,0.65
CSUN00010,Hispanic/Latino,Non-binary,True,True,False,91343,2.43,0.644,True,0.747,False,True,True,True,0.652
CSUN00011,Hispanic/Latino,Female,True,True,False,91406,2.44,0.636,True,0.589,False,False,True,False,0.656
CSUN00012,White,Male,True,False,False,91343,2.71,0.603,True,0.902,False,False,False,False,0.766
CSUN00013,Hispanic/Latino,Female,False,False,False,91361,3.08,0.887,True,0.781,False,True,False,False,0.363
CSUN00014,Other,Male,False,True,False,91364,3.54,0.851,True,0.765,False,False,False,True,0.755
CSUN00015,Hispanic/Latino,Male,True,True,False,91605,2.82,0.689,True,0.654,False,True,False,False,0.641
CSUN00016,Hispanic/Latino,Male,True,True,False,91402,2.4,0.465,False,0.641,False,True,True,True,0.748
CSUN00017,Hispanic/Latino,Female,True,True,False,91364,3.81,0.808,True,0.645,False,True,True,True,0.54
CSUN00018,White,Male,True,False,False,91324,2.71,0.761,True,0.858,False,True,False,False,0.73
CSUN00019,Hispanic/Latino,Female,True,True,False,91364,3.31,0.768,True,0.59,True,True,False,False,0.739
CSUN00020,White,Male,True,True,False,91361,2.93,0.766,True,0.767,False,True,True,False,0.904
CSUN00021,Asian,Female,False,False,False,91331,2.84,0.679,True,0.694,False,True,False,False,0.72
CSUN00022,Hispanic/Latino,Female,True,False,False,91605,3.65,0.826,True,0.725,False,True,False,True,0.788
CSUN00023,Asian,Female,False,True,False,91331,2.89,0.665,True,0.871,False,False,False,False,0.85
CSUN00024,Hispanic/Latino,Female,False,False,False,91402,3.3,0.661,True,0.668,False,True,False,False,0.529
CSUN00025,Asian,Female,True,False,False,91344,2.49,0.689,True,0.548,False,True,True,False,0.617
CSUN00026,Asian,Male,False,True,False,91343,2.53,0.742,True,0.786,False,True,False,False,0.589
CSUN00027,Hispanic/Latino,Female,False,False,False,91344,2.75,0.691,True,0.481,False,True,False,False,0.532
CSUN00028,Asian,Female,False,False,False,91436,2.78,0.883,True,0.661,False,True,False,False,0.705
CSUN00029,White,Female,True,True,False,91406,3.08,0.75,True,0.717,False,True,False,False,0.9
CSUN00030,Hispanic/Latino,Male,True,True,False,91402,3.2,0.54,False,0.864,False,False,False,False,0.423
CSUN00031,Hispanic/Latino,Female,True,True,False,91344,2.63,0.532,False,0.936,False,False,False,False,0.74
CSUN00032,Black/African American,Female,True,True,False,91344,3.09,0.694,True,1,False,False,True,False,0.758
CSUN00033,Hispanic/Latino,Female,False,True,True,91331,2.94,0.764,True,0.873,False,True,False,False,0.816
CSUN00034,Asian,Female,True,True,False,91344,2.6,0.579,True,0.856,False,True,False,False,0.774
CSUN00035,White,Female,False,False,False,91326,3.67,0.916,True,0.864,False,True,False,False,0.623
CSUN00036,Hispanic/Latino,Female,False,False,False,91344,3.03,0.785,True,0.884,False,True,False,False,0.585
CSUN00037,Hispanic/Latino,Female,False,True,False,91326,1.97,0.603,True,0.577,False,True,False,False,0.638
CSUN00038,White,Female,True,True,False,91406,3.42,0.693,True,0.853,False,True,False,False,1
CSUN00039,Hispanic/Latino,Male,True,False,False,91325,1.97,0.63,True,0.851,False,True,True,True,0.669
CSUN00040,Hispanic/Latino,Female,True,True,False,91402,2.88,0.653,True,0.696,False,True,False,True,0.645
CSUN00041,Hispanic/Latino,Female,True,False,False,91326,2.32,0.622,True,0.576,False,True,False,False,0.522
CSUN00042,White,Female,False,True,False,91362,2.59,0.734,True,0.711,True,True,False,True,0.732
CSUN00043,Hispanic/Latino,Male,False,True,False,91364,3.43,0.809,True,0.591,False,False,True,True,0.589
CSUN00044,White,Female,True,False,False,91364,3.71,0.708,True,0.733,False,True,True,True,0.545
CSUN00045,White,Male,False,True,False,91364,3.79,0.913,True,0.657,False,True,False,False,0.668
CSUN00046,Hispanic/Latino,Female,False,False,False,91326,2.96,0.797,True,0.663,False,False,False,False,0.678
CSUN00047,Hispanic/Latino,Male,True,True,False,91344,2.14,0.538,False,0.766,False,True,False,True,0.822
CSUN00048,Hispanic/Latino,Female,False,True,True,91302,2.77,0.889,True,0.817,False,True,False,False,0.632
CSUN00049,Hispanic/Latino,Male,True,False,False,91324,2.99,0.639,True,0.839,False,True,True,False,0.799
CSUN00050,Hispanic/Latino,Female,True,True,False,91340,2.8,0.734,True,0.485,False,True,True,False,0.748
CSUN00051,Two or More,Female,False,False,False,91331,3.95,0.923,True,0.737,False,True,False,True,0.84
CSUN00052,Other,Female,False,True,False,91324,3.78,0.971,True,0.603,False,False,False,False,0.599
CSUN00053,Hispanic/Latino,Female,False,False,False,91344,2.88,0.753,True,0.732,True,True,True,False,0.549
CSUN00054,Hispanic/Latino,Male,True,True,False,91343,2.97,0.491,False,0.732,False,False,False,False,0.83
CSUN00055,Hispanic/Latino,Female,True,False,False,91402,2.4,0.558,True,0.886,False,True,True,False,0.622
CSUN00056,Asian,Female,True,False,False,91364,2.74,0.689,True,0.571,False,False,True,True,0.571
CSUN00057,Hispanic/Latino,Male,False,False,False,91331,2.17,0.535,False,0.801,False,True,True,False,0.805
CSUN00058,Two or More,Male,True,False,False,91362,2.73,0.723,True,0.694,False,False,False,False,0.812
CSUN00059,Black/African American,Male,True,True,False,91340,2.42,0.436,False,0.64,False,True,True,True,0.795
CSUN00060,Two or More,Female,True,False,False,91344,2.38,0.676,True,0.78,False,True,False,False,0.782
CSUN00061,Hispanic/Latino,Male,False,True,False,91344,3.28,0.732,True,0.805,False,True,False,True,0.44
CSUN00062,Hispanic/Latino,Male,True,True,False,91436,3.98,0.845,True,0.869,False,False,False,True,0.653
CSUN00063,Asian,Male,False,False,False,91364,4.0,0.903,True,0.832,False,True,False,True,0.931
CSUN00064,Hispanic/Latino,Female,True,True,False,91331,2.89,0.452,False,0.716,False,False,True,False,0.625
CSUN00065,Black/African American,Female,True,False,True,91344,2.61,0.698,True,0.735,False,True,True,True,0.537
CSUN00066,White,Female,False,True,False,91324,2.39,0.809,True,0.644,False,True,False,False,0.5
CSUN00067,Hispanic/Latino,Female,True,True,False,91343,2.56,0.472,False,0.725,False,False,True,True,0.91
CSUN00068,Hispanic/Latino,Male,True,False,False,91331,3.36,0.576,True,0.675,False,True,True,False,0.621
CSUN00069,Hispanic/Latino,Male,False,False,False,91364,4.0,0.93,True,0.768,False,True,True,True,0.902
CSUN00070,White,Female,True,False,True,91361,2.89,0.646,True,0.837,False,False,False,False,0.777
CSUN00071,Hispanic/Latino,Male,True,True,False,91605,2.39,0.562,True,0.732,False,True,False,False,0.642
CSUN00072,Hispanic/Latino,Male,True,True,False,91340,2.65,0.555,True,0.779,False,True,True,False,0.662
CSUN00073,White,Female,True,False,False,91324,3.32,0.672,True,0.619,False,True,True,False,0.743
CSUN00074,Asian,Male,True,False,False,91406,2.13,0.775,True,0.896,False,True,False,False,0.635
CSUN00075,Hispanic/Latino,Male,True,False,False,91331,3.09,0.712,True,0.739,False,False,False,False,0.668
CSUN00076,Two or More,Male,False,False,False,91325,2.35,0.651,True,0.842,False,True,True,False,0.563
CSUN00077,Hispanic/Latino,Female,True,False,False,91605,2.17,0.541,False,0.745,False,False,False,False,0.562
CSUN00078,Hispanic/Latino,Female,True,True,False,91343,2.85,0.52,False,0.394,False,False,True,False,0.605
CSUN00079,White,Female,False,True,False,91436,2.71,0.896,True,0.639,False,True,False,True,0.505
CSUN00080,White,Female,False,False,False,91326,4.0,0.946,True,0.623,False,True,False,True,0.517
CSUN00081,Hispanic/Latino,Female,True,True,False,91343,3.12,0.612,True,0.64,False,True,False,False,0.501
CSUN00082,White,Male,True,True,False,91361,1.84,0.6,True,0.771,False,False,False,False,0.864
CSUN00083,Hispanic/Latino,Female,False,False,False,91605,2.84,0.741,True,0.434,False,False,True,False,0.476
CSUN00084,Hispanic/Latino,Female,False,False,False,91326,2.08,0.725,True,0.652,False,False,False,False,0.512
CSUN00085,Hispanic/Latino,Female,True,True,False,91340,2.88,0.546,False,0.647,False,True,False,False,0.679
CSUN00086,Hispanic/Latino,Male,False,False,False,91340,2.96,0.684,True,0.872,False,True,False,False,0.63
CSUN00087,White,Male,True,True,False,91361,2.68,0.659,True,0.837,False,True,False,False,0.616
CSUN00088,White,Non-binary,True,True,False,91324,3.19,0.757,True,0.638,False,False,True,False,0.751
CSUN00089,Hispanic/Latino,Male,True,False,True,91344,3.14,0.573,True,0.695,False,False,False,True,0.601
CSUN00090,Black/African American,Female,False,True,False,91344,2.54,0.747,True,0.548,False,True,False,False,0.862
CSUN00091,Asian,Male,True,False,False,91326,3.24,0.787,True,0.769,False,True,False,False,0.682
CSUN00092,White,Female,False,False,True,91436,1.75,0.581,True,0.896,False,True,False,True,0.422
CSUN00093,Hispanic/Latino,Male,True,True,False,91344,3.3,0.726,True,0.741,False,True,False,True,0.808
